,Date,Time,Level,Salinity
IN01,14/4/2020,11:00,-1.29,11.91
IN01,15/4/2020,0:00,-1.39,8.48
IN01,16/4/2020,0:00,-1.41,9.28
IN01,17/4/2020,0:00,-1.51,9.09
IN01,18/4/2020,0:00,-1.68,9.19
IN01,22/4/2020,0:00,-1.76,5.58
IN01,23/4/2020,0:00,-1.63,8.86
IN01,24/4/2020,0:00,-1.52,9.52
IN01,25/4/2020,0:00,-1.43,10.31
IN01,8/5/2020,12:00,-1.72,7.03
IN01,9/5/2020,0:00,-1.41,8.86
IN01,10/5/2020,0:00,-1.35,8.91
IN01,11/5/2020,0:00,-1.3,9.84
IN01,12/5/2020,0:00,-1.32,7.97
IN01,13/5/2020,0:00,-1.39,6.66
IN01,14/5/2020,0:00,-1.38,6.28
IN01,15/5/2020,0:00,-1.45,5.91
IN01,16/5/2020,0:00,-1.54,6.89
IN01,28/5/2020,13:00,-1.71,8.44
IN01,29/5/2020,0:00,-1.4,7.5
